"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-04-22T16:42:05.927980547Z,igc-2025-06-14-otaa,18.8,"1,026",25.4,22.1,14.6%,22.0,,,,
2026-04-22T16:43:19.025183065Z,igc-2025-06-14-otaa,18.9,"1,026",25.4,22.4,44.8%,22.1,,,,
2026-04-22T16:44:32.201918630Z,igc-2025-06-14-otaa,18.9,"1,026",25.3,22.4,43.1%,22.1,,,,
2026-04-22T16:45:45.427198110Z,igc-2025-06-14-otaa,18.9,"1,026",25.3,22.4,42.2%,22.1,,,,
2026-04-22T16:46:58.701904302Z,igc-2025-06-14-otaa,19.1,"1,026",25.3,22.4,41.6%,22.1,,,,
2026-04-22T16:48:12.022839073Z,igc-2025-06-14-otaa,18.8,"1,026",25.3,22.4,40.9%,22.1,,,,
2026-04-22T16:49:25.429446407Z,igc-2025-06-14-otaa,19.0,"1,026",25.3,22.4,40.4%,22.1,,,,
2026-04-22T16:50:38.805172574Z,igc-2025-06-14-otaa,18.9,"1,026",25.3,22.4,40.0%,22.0,,,,
2026-04-22T16:51:52.223854809Z,igc-2025-06-14-otaa,18.9,"1,026",25.3,22.4,39.5%,22.0,,,,
2026-04-22T16:53:05.745205016Z,igc-2025-06-14-otaa,19.0,"1,027",25.3,22.4,39.0%,22.0,,,,
2026-04-22T16:54:19.217390271Z,igc-2025-06-14-otaa,19.1,"1,026",25.3,22.4,38.6%,21.9,,,,
2026-04-22T16:55:32.056583436Z,igc-2025-06-14-otaa,19.0,"1,027",25.3,22.3,38.3%,21.9,,,,
2026-04-22T16:56:44.666388494Z,igc-2025-06-14-otaa,19.0,"1,027",25.2,22.4,38.0%,21.8,,,,
2026-04-22T16:57:57.353717644Z,igc-2025-06-14-otaa,19.1,"1,027",25.2,22.3,37.7%,21.8,,,,
2026-04-22T16:59:10.102724788Z,igc-2025-06-14-otaa,19.1,"1,027",25.2,22.3,37.4%,21.8,,,,
2026-04-22T17:00:22.824001727Z,igc-2025-06-14-otaa,19.0,"1,026",25.2,22.3,37.1%,21.7,,,,
