"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-05-27T22:04:44.877791803Z,igc-2025-06-19-otaa,44.3,"1,027",24.2,23.3,0.5%,23.4,1806.16,0,4.8,"{""bme_hum"":44.25,""bme_pres"":1027.02001953125,""bme_temp"":24.15999984741211,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.1600341796875,""soil_temp"":23.399999618530273,""vr_voltage"":4.772337913513184}"
2026-05-27T22:05:53.288547001Z,igc-2025-06-19-otaa,44.7,"1,027",24.2,23.3,0.5%,23.5,1806.46,0,4.8,"{""bme_hum"":44.720001220703125,""bme_pres"":1027.02001953125,""bme_temp"":24.15999984741211,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.4599609375,""soil_temp"":23.5,""vr_voltage"":4.771189212799072}"
2026-05-27T22:07:01.739965476Z,igc-2025-06-19-otaa,43.8,"1,027",24.2,23.3,0.5%,23.5,1806.39,0,4.8,"{""bme_hum"":43.83000183105469,""bme_pres"":1027.02001953125,""bme_temp"":24.15999984741211,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.3900146484375,""soil_temp"":23.5,""vr_voltage"":4.770040035247803}"
2026-05-27T22:08:10.156300481Z,igc-2025-06-19-otaa,44.1,"1,027",24.1,23.3,0.5%,23.5,1805.87,0,4.8,"{""bme_hum"":44.09000015258789,""bme_pres"":1027.050048828125,""bme_temp"":24.1299991607666,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1805.8699951171875,""soil_temp"":23.5,""vr_voltage"":4.769465923309326}"
2026-05-27T22:09:18.597234636Z,igc-2025-06-19-otaa,45.6,"1,027",24.1,23.3,0.5%,23.5,1806.56,0,4.8,"{""bme_hum"":45.59000015258789,""bme_pres"":1027.0799560546875,""bme_temp"":24.149999618530273,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.56005859375,""soil_temp"":23.5,""vr_voltage"":4.772337913513184}"
2026-05-27T22:10:26.996671494Z,igc-2025-06-19-otaa,44.5,"1,027",24.1,23.3,0.5%,23.5,1806.14,0,4.8,"{""bme_hum"":44.4900016784668,""bme_pres"":1027.02001953125,""bme_temp"":24.149999618530273,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.1400146484375,""soil_temp"":23.5,""vr_voltage"":4.772337913513184}"
2026-05-27T22:11:35.434264847Z,igc-2025-06-19-otaa,44.9,"1,027",24.2,23.3,0.5%,23.5,1805.95,0,4.8,"{""bme_hum"":44.900001525878906,""bme_pres"":1026.9100341796875,""bme_temp"":24.18000030517578,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1805.949951171875,""soil_temp"":23.5,""vr_voltage"":4.7706146240234375}"
2026-05-27T22:13:52.310129435Z,igc-2025-06-19-otaa,43.4,"1,027",24.2,23.3,0.5%,23.5,1806.25,0,4.8,"{""bme_hum"":43.43000030517578,""bme_pres"":1026.9100341796875,""bme_temp"":24.200000762939453,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.25,""soil_temp"":23.5,""vr_voltage"":4.768316745758057}"
2026-05-27T22:15:00.744632420Z,igc-2025-06-19-otaa,43.2,"1,027",24.1,23.3,0.5%,23.5,1806.11,0,4.8,"{""bme_hum"":43.18000030517578,""bme_pres"":1027.02001953125,""bme_temp"":24.149999618530273,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.1099853515625,""soil_temp"":23.5,""vr_voltage"":4.768891334533691}"
2026-05-27T22:16:09.178695739Z,igc-2025-06-19-otaa,43.3,"1,027",24.1,23.3,0.5%,23.5,1806.68,0,4.8,"{""bme_hum"":43.27000045776367,""bme_pres"":1027.050048828125,""bme_temp"":24.09000015258789,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.6800537109375,""soil_temp"":23.5,""vr_voltage"":4.767167568206787}"
2026-05-27T22:17:17.622449967Z,igc-2025-06-19-otaa,43.4,"1,027",24.1,23.4,0.5%,23.5,1806.00,0,4.8,"{""bme_hum"":43.36000061035156,""bme_pres"":1027.0799560546875,""bme_temp"":24.079999923706055,""ds_temp"":23.375,""soil_econ"":0,""soil_perm"":1806,""soil_temp"":23.5,""vr_voltage"":4.768891334533691}"
2026-05-27T22:18:26.059057403Z,igc-2025-06-19-otaa,43.4,"1,027",24.1,23.3,0.5%,23.5,1806.32,0,4.8,"{""bme_hum"":43.36000061035156,""bme_pres"":1027.0799560546875,""bme_temp"":24.06999969482422,""ds_temp"":23.3125,""soil_econ"":0,""soil_perm"":1806.3199462890625,""soil_temp"":23.5,""vr_voltage"":4.762571811676025}"
2026-05-27T22:19:30.083734577Z,igc-2025-06-19-otaa,42.8,"1,026",24.5,23.4,0.5%,23.5,1806.25,0,4.8,"{""bme_hum"":42.779998779296875,""bme_pres"":1026.3399658203125,""bme_temp"":24.469999313354492,""ds_temp"":23.375,""soil_econ"":0,""soil_perm"":1806.25,""soil_temp"":23.5,""vr_voltage"":4.7769341468811035}"
